Date,Open,High,Low,Close,Volume
10/7/2021,34509.72,34975.19,34509.72,34754.94,273290000
10/6/2021,34198.96,34432.68,33854.69,34416.99,322170000
10/5/2021,34035.25,34490.95,34035.25,34314.67,311520000
10/4/2021,34312.96,34410.28,33821.58,34002.92,396860000
10/1/2021,33930.7,34490.56,33785.54,34326.46,427580000
9/30/2021,34467.98,34557.37,33833.32,33843.92,354830000
9/29/2021,34360.08,34580.42,34305.96,34390.72,290350000
9/28/2021,34747.7,34798.21,34254.65,34299.99,379020000
9/27/2021,34739.27,35061.12,34739.27,34869.37,289480000
9/24/2021,34762.31,34857.06,34648.08,34798,254310000
9/23/2021,34296.3,34879.78,34296.3,34764.82,283890000
9/22/2021,34006.87,34440.42,34006.87,34258.32,296590000
9/21/2021,34025.61,34313.88,33914.02,33919.84,306970000
9/20/2021,34459.72,34459.72,33613.03,33970.47,435780000
9/17/2021,34737.86,34779.86,34519.63,34584.88,560630000
9/16/2021,34810.27,34943.55,34540.11,34751.32,278270000
9/15/2021,34580.95,34880.77,34522.03,34814.39,317490000
9/14/2021,34906.9,34990.36,34510.3,34577.57,325140000
9/13/2021,34665.5,34939.1,34665.5,34869.63,334190000
9/10/2021,34949.59,35104.25,34599.61,34607.72,333230000
9/9/2021,35013.08,35199.89,34847.3,34879.38,261330000
9/8/2021,35087.45,35175.15,34925.61,35031.07,261880000
9/7/2021,35373.24,35373.24,35060.9,35100,289830000
9/3/2021,35401.73,35422.71,35269.4,35369.09,221370000
9/2/2021,35353.06,35475.4,35348.48,35443.82,263370000
9/1/2021,35387.55,35407.37,35287.05,35312.53,265520000
8/31/2021,35391.38,35449.79,35289.86,35360.73,337240000
8/30/2021,35471.8,35510.71,35374.46,35399.84,245390000
8/27/2021,35231.11,35479.18,35231.11,35455.8,240990000
8/26/2021,35449.68,35498.45,35205.1,35213.12,239740000
8/25/2021,35388.77,35501.14,35287.63,35405.5,237230000
8/24/2021,35382.72,35445.47,35356.18,35366.26,228710000
8/23/2021,35160.97,35428.91,35160.97,35335.71,245760000
8/20/2021,34917.96,35177.26,34867.07,35120.08,269320000
8/19/2021,34874.67,34997.81,34690.25,34894.12,333550000
8/18/2021,35310.2,35356.8,34943.41,34960.69,289800000
8/17/2021,35500.01,35500.01,35120.31,35343.28,309410000
8/16/2021,35490.83,35631.19,35231.87,35625.4,292590000
8/13/2021,35551.56,35610.57,35474.78,35515.38,236790000
8/12/2021,35481.94,35510.77,35352.53,35499.85,231600000
8/11/2021,35300.89,35501.16,35300.89,35484.97,232800000
8/10/2021,35135.17,35285.16,35091.91,35264.67,255040000
8/9/2021,35229.67,35229.67,35041.24,35101.85,207850000
8/6/2021,35077.44,35246.79,35077.44,35208.51,231570000
8/5/2021,34815.61,35067.54,34815.61,35064.25,216580000
8/4/2021,35047.44,35047.44,34790.62,34792.67,245300000
8/3/2021,34864.1,35120.94,34714.33,35116.4,259820000
8/2/2021,34968.56,35192.11,34808.2,34838.16,238620000
7/30/2021,35013.26,35106.3,34871.13,34935.47,276410000
7/29/2021,34985.99,35171.52,34985.99,35084.53,222680000
7/28/2021,35109.95,35116.37,34876.84,34930.93,347170000
7/27/2021,35078.9,35078.9,34878.07,35058.52,326610000
7/26/2021,35055.86,35150.37,34950.19,35144.31,259790000
7/23/2021,34855.11,35095.33,34855.11,35061.55,314040000
7/22/2021,34799.68,34879.28,34673.03,34823.35,291610000
7/21/2021,34556.96,34820.24,34556.96,34798,317090000
7/20/2021,33981.79,34621.79,33981.79,34511.99,387020000
7/19/2021,34528.48,34528.48,33741.76,33962.04,440440000
7/16/2021,35007.94,35090.01,34647.82,34687.85,322980000
